x, y
-1.92, 214.85454545454544
7.68, 214.47272727272727
19.84, 213.96363636363637
35.2, 213.3272727272727
49.92, 212.94545454545454
63.36, 212.6909090909091
80.64, 212.56363636363636
94.72, 211.8
108.8, 211.67272727272726
121.60000000000001, 202.25454545454545
138.24, 174.89090909090908
152.32, 171.3272727272727
167.68, 170.6909090909091
182.4, 170.94545454545454
196.48000000000002, 170.8181818181818
211.20000000000002, 170.94545454545454
224, 171.2
240, 171.3272727272727
255.36, 172.34545454545454
270.08, 173.1090909090909
284.16, 174.12727272727273
298.88, 174.63636363636363
314.24, 174.76363636363635
328.32, 174.76363636363635
343.04, 175.27272727272728
357.76, 175.4
372.48, 176.16363636363636
385.92, 175.78181818181818
401.28000000000003, 176.03636363636363
